lat,lon,n_chargers,mean_power_kw,aadt_assigned,highway_class,stop_rate,lambda_k
42.7682,-1.63317,1,320.0,356.55162213921386,trunk,0.05,0.05793963859762226
42.7683,-1.63316,1,320.0,356.55162213921386,trunk,0.05,0.05793963859762226
41.629387,-4.324344,2,7.0,3287.6351845882555,trunk_link,0.05,0.5342407174955915
43.35543,-4.09482,4,80.5,41138.0,motorway,0.05,6.684925000000002
42.32068,-1.574121,4,7.0,2670.5017290077344,primary,0.05,0.43395653096375697
43.41561,-3.93811,4,22.0,8474.0,trunk,0.05,1.3770250000000004
42.37182,-5.032999,2,7.0,32.11952472878545,secondary,0.05,0.005219422768427636
42.291927,-5.517989,2,7.0,549.4853041137605,secondary,0.05,0.08929136191848609
40.947308,-5.641658,10,7.0,7019.836602169838,primary,0.05,1.140723447852599
39.926884,-5.18534,4,36.0,3036.5939258816175,secondary,0.05,0.4934465129557629
41.611687,-4.684803,2,7.0,4097.821800483972,secondary,0.05,0.6658960425786455
40.789047,-3.498464,2,14.0,1385.116896414418,trunk,0.05,0.22508149566734295
37.9042,-6.2211,6,74.0,264.0,trunk,0.05,0.04290000000000001
42.86512,-4.496746,2,7.0,1874.830002903677,primary,0.05,0.3046598754718476
41.671745,0.604217,4,101.0,10773.0,secondary,0.05,1.7506125000000001
42.6195,-1.95542,4,7.0,4440.315603304912,primary,0.05,0.7215512855370482
42.78712,-1.676567,4,7.0,1090.9591168121572,motorway_link,0.05,0.17728085648197556
41.07259,-6.66571,2,7.0,649.4500666141005,secondary,0.05,0.10553563582479134
39.6809,-0.203517,2,22.0,5109.540988063841,secondary,0.05,0.8303004105603743
40.3645,-5.7391,2,7.0,929.0,trunk,0.05,0.15096250000000003
40.493427,-6.051871,2,7.0,778.63106664129,secondary,0.05,0.12652754832920965
43.38328,-3.83937,2,180.0,4124.910989098012,primary,0.05,0.6702980357284269
39.39264,-0.71008,2,60.0,5409.496397400691,secondary,0.05,0.8790431645776124
41.5916,-4.82411,2,7.0,44001.0,motorway,0.05,7.1501625
39.83436,-0.467797,2,300.0,17685.56138347598,secondary_link,0.05,2.8739037248148467
43.308174,-7.979763,2,7.0,1866.4775007477092,secondary_link,0.05,0.3033025938715028
42.71036,0.9033,2,22.0,1504.9936911015495,primary,0.05,0.24456147480400184
43.087288,-7.546485,4,61.0,24840.0,motorway,0.05,4.0365
42.82535,-1.697298,4,7.0,356.55162213921386,trunk,0.05,0.05793963859762226
43.004612,-1.896017,4,61.0,12608.891799884745,motorway,0.05,2.0489449174812715
41.217045,-6.614353,2,7.0,306.22039750944833,secondary,0.05,0.04976081459528536
37.14963,-5.73862,2,50.0,6670.519045482143,primary,0.05,1.0839593448908482
41.661484,-4.780455,2,100.0,4155.001277903151,secondary,0.05,0.6751877076592622
41.70422,-5.751601,2,7.0,297.0,trunk,0.05,0.048262500000000014
41.739582,-6.278484,2,7.0,3995.0,trunk,0.05,0.6491875
38.027935,-6.220272,5,58.8,109.0,trunk,0.05,0.017712500000000003
40.57241,-2.07737,2,22.0,329.1105250278692,secondary_link,0.05,0.05348046031702876
42.6565,-5.035691,2,7.0,318.26139916800355,secondary,0.05,0.05171747736480058
42.861736,-4.497621,2,7.0,1874.830002903677,primary,0.05,0.3046598754718476
43.00454,-1.909339,2,22.0,12916.402471559984,motorway_link,0.05,2.098915401628498
42.97904,-1.369789,2,100.0,356.55162213921386,trunk,0.05,0.05793963859762226
40.484047,-5.995401,2,7.0,1125.6502895674164,secondary,0.05,0.18291817205470517
41.26688,-6.46886,2,7.0,1221.7208774384287,primary,0.05,0.1985296425837447
39.53626,-1.43873,2,50.0,1347.491992713233,secondary,0.05,0.2189674488159004
43.19377,-2.609608,2,22.0,21797.71145924487,motorway,0.05,3.5421281121272914
43.27776,-2.840911,2,7.0,12581.695355686934,motorway_link,0.05,2.0445254952991267
41.52116,-5.96703,2,7.0,1368.7719557585197,primary,0.05,0.22242544281075946
41.517918,2.416746,2,50.0,39498.67484095768,primary,0.05,6.418534661655624
42.792397,-7.832396,2,22.0,2002.0,trunk,0.05,0.3253250000000001
42.16892,-5.26236,2,7.0,982.48567473786,trunk_link,0.05,0.1596539221449023
38.53453,-0.171923,4,71.0,6260.098425732076,secondary,0.05,1.0172659941814624
38.81839,0.02378,8,222.5,5945.048028972866,trunk_link,0.05,0.9660703047080909
42.866467,-5.32201,2,7.0,518.241057994351,primary,0.05,0.08421417192408205
42.29332,-5.52045,2,7.0,1280.9972811023415,primary,0.05,0.20816205817913055
42.269062,-4.4038,2,22.0,489.0,trunk,0.05,0.07946250000000002
42.58031,-5.642893,2,7.0,4434.0114147025915,trunk_link,0.05,0.7205268548891712
42.720154,0.91685,2,22.0,1504.9936911015495,primary,0.05,0.24456147480400184
43.42796,-7.36617,2,22.0,1289.8389427179127,trunk_link,0.05,0.20959882819166087
42.78608,-1.633391,4,61.0,356.55162213921386,trunk,0.05,0.05793963859762226
42.8944,-4.7477,2,7.0,221.9302853522688,primary,0.05,0.03606367136974369
40.945244,-0.23089,2,7.0,5044.0,trunk,0.05,0.8196500000000001
