gamma,fixed_cost,tag,results_csv,cuts_json,n_stations,n_chargers,avg_chargers_per_station,total_kw,total_wq_min,total_w_min,total_open_cost,objective_ub,objective_lb,gap_pct,n_cuts,power_dist,charger_dist
0.05,0.0,sweep2d_g0_05_f0,congestion/outputs/results_congestion_sweep2d_g0_05_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_05_f0.json,49,101,2.061224489795918,31050,273.6027,686.8827000000001,0.0,17705422.064581014,17702687.16438101,0.015446681756752236,226996,"{""250"": 21, ""350"": 28}","{""1"": 23, ""2"": 18, ""3"": 3, ""5"": 2, ""6"": 1, ""7"": 1, ""10"": 1}"
0.1,0.0,sweep2d_g0_1_f0,congestion/outputs/results_congestion_sweep2d_g0_1_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_1_f0.json,44,83,1.8863636363636365,20500,329.40129999999994,779.7613,0.0,17710386.174722187,17703939.08492205,0.03640287533278002,229120,"{""150"": 3, ""200"": 13, ""250"": 12, ""350"": 16}","{""1"": 23, ""2"": 14, ""3"": 2, ""4"": 2, ""6"": 3}"
0.15,0.0,sweep2d_g0_15_f0,congestion/outputs/results_congestion_sweep2d_g0_15_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_15_f0.json,38,65,1.7105263157894737,16200,402.00239999999997,822.4824000000001,0.0,17712107.572140157,17704847.800340034,0.04098762256583312,230014,"{""150"": 6, ""200"": 8, ""250"": 16, ""350"": 8}","{""1"": 19, ""2"": 12, ""3"": 6, ""4"": 1}"
0.2,0.0,sweep2d_g0_2_f0,congestion/outputs/results_congestion_sweep2d_g0_2_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_2_f0.json,36,60,1.6666666666666667,13850,490.7556000000001,930.7955999999999,0.0,17712773.617053136,17705552.48445303,0.04076793819096794,230257,"{""100"": 2, ""150"": 5, ""200"": 11, ""250"": 13, ""350"": 5}","{""1"": 18, ""2"": 13, ""3"": 4, ""4"": 1}"
0.25,0.0,sweep2d_g0_25_f0,congestion/outputs/results_congestion_sweep2d_g0_25_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_25_f0.json,36,60,1.6666666666666667,13400,539.3248,1001.2047999999999,0.0,17714010.996334136,17706368.21133403,0.04314542314378212,230816,"{""100"": 3, ""150"": 6, ""200"": 11, ""250"": 11, ""350"": 5}","{""1"": 19, ""2"": 11, ""3"": 5, ""4"": 1}"
0.3,0.0,sweep2d_g0_3_f0,congestion/outputs/results_congestion_sweep2d_g0_3_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_3_f0.json,35,58,1.6571428571428573,12400,614.8545,1098.0945000000002,0.0,17715076.75748413,17706976.98968403,0.04572245387916945,231209,"{""100"": 5, ""150"": 5, ""200"": 13, ""250"": 8, ""350"": 4}","{""1"": 17, ""2"": 14, ""3"": 3, ""4"": 1}"
0.35,0.0,sweep2d_g0_35_f0,congestion/outputs/results_congestion_sweep2d_g0_35_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_35_f0.json,32,52,1.625,10950,580.5816000000001,1036.9416,0.0,17715672.61783815,17707529.767138056,0.0459641068998766,308317,"{""100"": 6, ""150"": 4, ""200"": 11, ""250"": 7, ""350"": 4}","{""1"": 16, ""2"": 13, ""3"": 2, ""4"": 1}"
0.4,0.0,sweep2d_g0_4_f0,congestion/outputs/results_congestion_sweep2d_g0_4_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_4_f0.json,28,46,1.6428571428571428,9100,478.64500000000004,897.9249999999998,0.0,17716979.467937145,17707808.849137034,0.05176175101804125,230911,"{""100"": 6, ""150"": 4, ""200"": 10, ""250"": 6, ""350"": 2}","{""1"": 13, ""2"": 13, ""3"": 1, ""4"": 1}"
0.45,0.0,sweep2d_g0_45_f0,congestion/outputs/results_congestion_sweep2d_g0_45_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_45_f0.json,27,43,1.5925925925925926,8850,526.2944,915.3343999999998,0.0,17717319.392967157,17708226.39296706,0.05132266229679361,308177,"{""100"": 6, ""150"": 1, ""200"": 10, ""250"": 8, ""350"": 2}","{""1"": 14, ""2"": 11, ""3"": 1, ""4"": 1}"
0.5,0.0,sweep2d_g0_5_f0,congestion/outputs/results_congestion_sweep2d_g0_5_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_5_f0.json,27,43,1.5925925925925926,8550,568.1030999999999,962.5430999999999,0.0,17717639.12917815,17708642.53087806,0.050777635973383986,308136,"{""100"": 6, ""150"": 1, ""200"": 11, ""250"": 8, ""350"": 1}","{""1"": 15, ""2"": 9, ""3"": 2, ""4"": 1}"
0.55,0.0,sweep2d_g0_55_f0,congestion/outputs/results_congestion_sweep2d_g0_55_f0.csv,congestion/outputs/congestion_cuts_sweep2d_g0_55_f0.json,26,40,1.5384615384615385,7950,586.2873000000001,967.7672999999999,0.0,17717721.886348158,17709027.98264806,0.0490689703555919,308125,"{""100"": 6, ""150"": 1, ""200"": 11, ""250"": 6, ""350"": 2}","{""1"": 16, ""2"": 7, ""3"": 2, ""4"": 1}"
