gamma,n_stations,n_chargers,total_kw,total_wq_min,total_w_min,objective_ub,objective_lb,gap_pct,power_dist
0.05,111,146,42600,452.5269,1424.1668999999997,17703797.899795014,17703381.170395017,0.0023538983124212357,"{200: np.int64(1), 250: np.int64(58), 350: np.int64(52)}"
0.1,45,54,14400,313.2522,766.1322000000001,17703996.342091065,17702652.824491028,0.007588781504902137,"{150: np.int64(3), 200: np.int64(10), 250: np.int64(16), 350: np.int64(16)}"
0.15,43,49,12150,376.17760000000004,848.1376000000001,17706402.58760803,17703314.17320806,0.017442359534556442,"{150: np.int64(6), 200: np.int64(13), 250: np.int64(12), 350: np.int64(12)}"
0.2,42,48,10850,438.49170000000004,974.0517,17706946.19388103,17703870.451181058,0.0173702606101337,"{100: np.int64(4), 150: np.int64(7), 200: np.int64(11), 250: np.int64(12), 350: np.int64(8)}"
0.3,38,43,8550,523.6632,1085.5032,17710910.71272308,17704952.470723055,0.03364164664747879,"{100: np.int64(7), 150: np.int64(10), 200: np.int64(8), 250: np.int64(8), 350: np.int64(5)}"
0.4,38,42,8200,585.2086999999999,1172.2487,17710311.54451709,17706045.470467057,0.024088080208573916,"{100: np.int64(9), 150: np.int64(10), 200: np.int64(6), 250: np.int64(8), 350: np.int64(5)}"
0.5,37,40,7750,654.5556,1229.3556000000003,17711035.533658095,17706901.757241394,0.023340117006961536,"{100: np.int64(9), 150: np.int64(10), 200: np.int64(4), 250: np.int64(10), 350: np.int64(4)}"
0.7,30,32,5600,698.4882000000001,1273.1682,17714757.03961523,17707384.439615056,0.04161840878588188,"{50: np.int64(4), 100: np.int64(3), 150: np.int64(8), 200: np.int64(7), 250: np.int64(6), 350: np.int64(2)}"
1.0,29,32,4900,921.1972000000001,1532.3572,17715844.04953224,17709851.19903207,0.03382763182727596,"{50: np.int64(4), 100: np.int64(5), 150: np.int64(10), 200: np.int64(7), 250: np.int64(2), 350: np.int64(1)}"
1.5,20,22,3050,1733.7981000000002,2234.4381000000003,17714437.25857305,17711102.608973064,0.018824473796785056,"{50: np.int64(5), 100: np.int64(3), 150: np.int64(7), 200: np.int64(2), 250: np.int64(3)}"
2.0,22,22,2550,2746.6629,3411.1029000000003,17715781.926424127,17713309.939824067,0.013953584495036614,"{50: np.int64(8), 100: np.int64(6), 150: np.int64(4), 200: np.int64(1), 250: np.int64(3)}"
3.0,20,20,1700,3031.581,3774.9810000000007,17716192.57371918,17714546.453569062,0.009291613552231185,"{50: np.int64(11), 100: np.int64(5), 150: np.int64(3), 200: np.int64(1)}"
5.0,15,15,950,3562.3167,4217.5167,17720001.694962133,17716487.151962064,0.019833762211590045,"{50: np.int64(11), 100: np.int64(4)}"
7.0,13,13,700,3919.2613,4549.2613,17725273.282761116,17718138.873361062,0.04024992611533928,"{50: np.int64(12), 100: np.int64(1)}"
10.0,11,11,550,3861.2698,4415.669800000001,17730957.936763108,17719995.147863064,0.061828520146188656,{50: np.int64(11)}
