gamma,n_stations,n_chargers,total_kw,total_wq_min,total_w_min,objective_ub,objective_lb,gap_pct,power_dist
0.05,51,100,31200,247.9578,675.6378,17705243.63514903,17702640.03029895,0.0147052754750638,"{250: np.int64(21), 350: np.int64(30)}"
0.08,43,79,22600,267.5121,666.3920999999998,17709425.808374073,17703317.658473983,0.03449095394838635,"{200: np.int64(8), 250: np.int64(16), 350: np.int64(19)}"
0.1,43,74,17900,347.14599999999996,802.1859999999999,17710714.66533718,17703732.643136986,0.03942258871042758,"{150: np.int64(3), 200: np.int64(12), 250: np.int64(18), 350: np.int64(10)}"
0.12,45,77,18400,398.64459999999997,892.2045999999998,17711141.784887157,17704231.186636984,0.03901836671010006,"{150: np.int64(6), 200: np.int64(9), 250: np.int64(22), 350: np.int64(8)}"
0.15,40,64,14650,397.864,862.9839999999999,17711802.021701146,17704543.814300984,0.04097949712439622,"{150: np.int64(6), 200: np.int64(12), 250: np.int64(19), 350: np.int64(3)}"
0.18,37,59,13350,415.53939999999994,856.2994,17712228.009508137,17704950.338007987,0.04108840229610511,"{150: np.int64(8), 200: np.int64(9), 250: np.int64(17), 350: np.int64(3)}"
0.2,37,59,13050,449.0103,911.6102999999999,17712481.944309138,17705204.272808984,0.04108781323270221,"{100: np.int64(2), 150: np.int64(6), 200: np.int64(11), 250: np.int64(15), 350: np.int64(3)}"
0.25,37,55,12400,533.7732,996.1331999999999,17713649.696127135,17705973.341826983,0.04333581408596359,"{100: np.int64(3), 150: np.int64(5), 200: np.int64(11), 250: np.int64(12), 350: np.int64(6)}"
0.3,35,58,12400,614.8545,1098.0945000000002,17715076.75748413,17706965.212184083,0.045788936797132085,"{100: np.int64(5), 150: np.int64(5), 200: np.int64(13), 250: np.int64(8), 350: np.int64(4)}"
0.35,32,52,10950,580.5816000000001,1036.9416,17715672.61783815,17707529.767138083,0.04596410689972941,"{100: np.int64(6), 150: np.int64(4), 200: np.int64(11), 250: np.int64(7), 350: np.int64(4)}"
0.4,28,46,9100,478.64500000000004,897.9250000000001,17716979.467937145,17707797.064537082,0.051828266870665725,"{100: np.int64(6), 150: np.int64(4), 200: np.int64(10), 250: np.int64(6), 350: np.int64(2)}"
0.5,27,43,8550,568.1030999999999,962.5431000000001,17717639.12917815,17708642.53087809,0.05077763597321579,"{100: np.int64(6), 150: np.int64(1), 200: np.int64(11), 250: np.int64(8), 350: np.int64(1)}"
0.7,22,28,5400,569.4421000000001,964.8421,17721777.943049237,17710063.78344909,0.06610036328065264,"{50: np.int64(2), 100: np.int64(5), 150: np.int64(2), 200: np.int64(5), 250: np.int64(5), 350: np.int64(3)}"
1.0,21,27,5050,716.326,1125.1660000000002,17723208.26753924,17711599.09543909,0.0655026557545552,"{50: np.int64(3), 100: np.int64(4), 150: np.int64(1), 200: np.int64(7), 250: np.int64(3), 350: np.int64(3)}"
