lat,lon,c,p_kw,wq_minutes
42.892,-1.777806,2,150,0.11021
42.892,-1.777806,3,150,0.003734
42.892,-1.777806,4,150,0.00011
42.892,-1.777806,5,150,3e-06
42.892,-1.777806,6,150,0.0
42.892,-1.777806,7,150,0.0
42.055861,-1.861722,2,150,0.05318
42.055861,-1.861722,3,150,0.001277
42.055861,-1.861722,4,150,2.6e-05
42.055861,-1.861722,5,150,0.0
42.055861,-1.861722,6,150,0.0
42.055861,-1.861722,7,150,0.0
42.590333,-1.363972,2,150,0.009808
42.590333,-1.363972,3,150,0.000104
42.590333,-1.363972,4,150,1e-06
42.590333,-1.363972,5,150,0.0
42.590333,-1.363972,6,150,0.0
42.590333,-1.363972,7,150,0.0
42.024778,-1.580333,2,150,2.839248
42.024778,-1.580333,3,150,0.342908
42.024778,-1.580333,4,150,0.04169
42.024778,-1.580333,5,150,0.004629
42.024778,-1.580333,6,150,0.000461
42.024778,-1.580333,7,150,4.1e-05
42.774333,-1.633278,2,150,0.001522
42.774333,-1.633278,3,150,6e-06
42.774333,-1.633278,4,150,0.0
42.774333,-1.633278,5,150,0.0
42.774333,-1.633278,6,150,0.0
42.774333,-1.633278,7,150,0.0
42.818278,-1.60325,2,150,0.000285
42.818278,-1.60325,3,150,1e-06
42.818278,-1.60325,4,150,0.0
42.818278,-1.60325,5,150,0.0
42.818278,-1.60325,6,150,0.0
42.818278,-1.60325,7,150,0.0
42.837667,-0.939306,2,150,0.252107
42.837667,-0.939306,3,150,0.012463
42.837667,-0.939306,4,150,0.000544
42.837667,-0.939306,5,150,2.1e-05
42.837667,-0.939306,6,150,1e-06
42.837667,-0.939306,7,150,0.0
42.731944,-1.618028,2,150,0.017139
42.731944,-1.618028,3,150,0.000238
42.731944,-1.618028,4,150,3e-06
42.731944,-1.618028,5,150,0.0
42.731944,-1.618028,6,150,0.0
42.731944,-1.618028,7,150,0.0
42.724889,-1.615528,2,150,0.020607
42.724889,-1.615528,3,150,0.000313
42.724889,-1.615528,4,150,4e-06
42.724889,-1.615528,5,150,0.0
42.724889,-1.615528,6,150,0.0
42.724889,-1.615528,7,150,0.0
42.200333,-1.676278,2,150,0.81948
42.200333,-1.676278,3,150,0.066337
42.200333,-1.676278,4,150,0.004943
42.200333,-1.676278,5,150,0.000325
42.200333,-1.676278,6,150,1.9e-05
42.200333,-1.676278,7,150,1e-06
