object_id,province_code,road,pk_start_km,pk_end_km,aadt_total,aadt_heavy,aadt_light,aadt_motorcycles,aadt_cars,aadt_cars_caravan,aadt_vans,aadt_tractors,aadt_rigid_trucks,aadt_articulated_trucks,aadt_road_trains,aadt_special_vehicles,aadt_buses,speed_avg_kph,speed_light_kph,speed_heavy_kph,aadt_pct_ascending,aadt_pct_descending,year,shape_length_m
1,21,N-435A,112.1,116.985,1025,263,762,8,692,8,54,0,45,197,21,0,0,,,,,,2022,11288.355036243684
2,15,N-550,79.2,80.7,15314,862,14452,598,12475,297,1060,22,253,518,18,2,71,62.2,62.3,60.8,,,2022,1432.9000601958421
3,3,AP-7N,621.1,637.8,25372,2522,22850,73,20284,170,2323,0,1143,1246,42,0,91,113.6,115.6,95.6,49.6413369068264,50.3586630931736,2022,16720.453878192067
4,25,A-2,526.5,530.722,22992,4669,18323,529,16279,35,1480,0,946,3387,157,15,164,113.4,120,89.6,48.4690327070285,51.5309672929715,2022,4147.696373301995
5,4,N-340A,520.6,523.6,1102,60,1042,51,926,2,63,0,35,17,0,0,8,77.6,78.2,69.7,,,2022,2883.62260281358
6,15,N-547,64.4,67.9,6169,753,5416,25,4564,37,789,1,314,358,30,0,51,,,,,,2022,3476.7607369994316
7,9,N-232,510.7,513.4,1579,223,1356,167,1009,12,159,9,60,140,2,0,21,37.9,38.7,31.6,,,2022,2625.8553736051617
8,14,N-432,336.8,339,4989,672,4317,202,3305,54,727,29,229,283,13,3,144,,,,,,2022,2355.7709124846256
9,5,N-403A,127,131,3519,242,3277,35,2831,21,390,0,119,105,3,1,14,89,90.1,74.7,,,2022,2986.1749602099103
10,21,N-433,127.1,128,1665,427,1238,14,1125,13,86,0,69,319,35,2,2,,,,,,2022,902.3529189804595
11,19,N-211,78.5,82.4,1991,413,1578,39,1453,4,79,3,66,323,5,6,13,93.5,97.3,79.6,,,2022,3930.9592842440297
12,12,N-232,48.3,60.8,2895,524,2371,79,2098,8,186,0,110,397,8,2,7,95.8,99.4,81.3,,,2022,11760.708677167004
13,26,A-12,107.9,110.3,10261,1667,8594,35,7634,31,894,0,386,1149,70,2,60,112.3,116,93,48.4358249683267,51.5641750316733,2022,2409.214273133301
14,13,N-430,361.2,361.68,2215,321,1894,18,1747,0,85,44,145,176,0,0,0,,,,,,2022,687.5473899617971
15,26,N-113,67.2,68.31,4463,2024,2439,130,1918,53,338,0,157,1837,2,27,1,90,95.4,82.9,,,2022,1428.0806962711113
16,21,N-435,151.1,155.6,1781,264,1517,77,1254,18,166,2,96,148,0,1,19,,,,,,2022,4470.142269644403
17,6,A-5,402.7,405.4,9575,2600,6975,101,6409,24,441,0,319,2072,80,10,119,103.9,109.8,91,41.3054830287206,58.6945169712794,2022,2694.43046962304
18,25,N-240,112.4,114,857,77,780,8,661,1,106,4,24,35,1,0,17,,,,,,2022,1618.4712303218753
19,12,N-225,22.4,23.36,8306,515,7791,26,7160,58,541,6,149,344,13,3,6,56.7,57.4,47.3,,,2022,916.0683250860087
20,24,N-601,315.8,317,3608,131,3477,47,3067,31,331,1,69,47,4,0,11,,,,,,2022,1229.2220932677462
21,14,A-4,395.72,397.8,32568,6150,26418,315,24232,43,1828,0,1386,4320,215,13,216,101.8,104.8,90.5,53.8964627855564,46.1035372144436,2022,2058.2494272935623
22,2,N-430,429.4,431.8,382,61,321,16,276,3,26,0,33,23,0,2,3,96,99.7,82.7,,,2022,2148.080436580974
23,12,A-7,281.5,283.5,35401,5537,29864,453,26456,66,2889,0,1374,3964,120,19,60,107,109.8,90.2,45.820739527132,54.179260472868,2022,1958.2116156786797
24,14,N-432,189.8,191.1,4228,465,3763,30,3571,12,150,0,106,302,17,0,40,,,,,,2022,1479.1187498295976
25,3,A-7,435.6,441.4,16617,1755,14862,295,13165,134,1268,0,881,755,75,1,43,112.3,115.7,89.5,51.1163266534272,48.8836733465728,2022,5762.153603534269
26,3,A-79,0,0.7,10039,645,9394,598,7537,23,1236,0,509,79,7,0,50,83.7,84.5,73.8,47.1959358501843,52.8040641498157,2022,766.5462641246631
27,29,AP-7S,200,212.3,20884,1349,19535,116,17701,80,1638,0,532,715,22,4,76,,,,50,50,2022,12367.156154685674
