lon_a,lat_a,lon_b,lat_b,usage_count
-3.674042,38.19465,-3.673307,38.196457,4433
-3.775363,38.17689,-3.674042,38.19465,4242
-3.494726,38.515522,-3.471584,38.635555,3743
-3.673307,38.196457,-3.494726,38.515522,3658
-3.684292,38.18487,-3.672057,38.193504,2883
-3.718389,38.150806,-3.684292,38.18487,2669
-3.566889,39.976889,-3.546863,39.96833,2348
-3.672057,38.193504,-3.470986,38.636032,2231
-6.227921,39.86802,-6.001245,40.138565,2106
-6.001245,40.138565,-5.657723,40.894054,1864
-3.546863,39.96833,-3.471584,38.635555,1805
-3.791627,37.940243,-3.775363,38.17689,1787
-2.805598,39.91926,-2.25491,39.538704,1776
-0.184096,39.781944,1.415153,41.177746,1718
-3.723148,38.14239,-3.718389,38.150806,1714
-6.402026,39.556885,-6.276139,39.882972,1645
-6.302123,38.315155,-6.227921,39.86802,1610
-3.958857,37.18492,-3.958642,37.184185,1592
-6.402026,39.556885,-6.296556,38.23025,1575
-4.164194,38.029778,-3.775363,38.17689,1524
-3.472141,38.63538,-3.471584,38.635555,1499
-3.739295,42.3011,-3.549281,42.403908,1464
-4.18814,40.737324,-2.812738,39.92119,1437
-3.471416,38.63611,-3.470986,38.636032,1414
-5.545187,41.939728,-4.18814,40.737324,1409
-3.297419,37.3209,-3.028232,37.39342,1351
-3.545228,38.336933,-3.471584,38.635555,1350
-4.398679,40.77063,-2.576845,39.864933,1335
-3.334111,42.526028,-3.194363,42.54852,1317
-2.001533,41.31289,-1.964591,41.305973,1303
-3.673307,38.196457,-3.545228,38.336933,1300
-4.398679,40.77063,-3.566889,39.976889,1291
-2.994463,40.774384,-2.404372,41.189228,1274
-3.7232,38.14232,-3.723148,38.14239,1251
-2.158367,39.48435,-0.93025,39.450333,1228
-3.791627,37.940243,-3.637788,37.52801,1212
-3.009119,40.76181,-2.003104,41.3113,1201
-2.404372,41.189228,-2.001533,41.31289,1180
-6.276139,39.882972,-5.917074,40.265152,1178
-2.576845,39.864933,-2.03989,39.13535,1142
-5.252056,37.524694,-4.164194,38.029778,1117
-2.812738,39.92119,-2.805598,39.91926,1109
-3.958642,37.184185,-3.958342,37.183884,1078
-0.754167,38.878611,-0.754148,38.87854,1039
-5.311668,41.773834,-4.398679,40.77063,1010
-5.715528,42.089278,-4.398679,40.77063,1003
-1.360389,37.885556,-1.313417,37.912167,998
-3.549281,42.403908,-3.333109,42.526173,983
-3.672057,38.193504,-2.158367,39.48435,982
-1.313417,37.912167,-0.586654,39.13945,981
-4.942309,41.518215,-4.597436,41.82064,920
-5.545129,41.939377,-4.18814,40.737324,915
-7.603278,41.988722,-5.311668,41.773834,897
-7.45764,42.964878,-5.715528,42.089278,874
-4.945926,41.51741,-4.942309,41.518215,850
-3.7232,38.14232,-3.718389,38.150806,835
-1.964591,41.305973,-1.473531,41.473686,819
0.711547,40.812195,1.662544,41.321007,817
-2.003104,41.3113,-1.287987,41.516342,812
